frame,time_s,stretch_score,shear_score,bend_score
0,0.00000000,0,0,0
1,0.01666667,0.002950999862,0.001585648279,0.000861724516
2,0.03333333,0.006065327895,0.003513158853,0.007297366175
3,0.05000000,0.006263412896,0.004328764111,0.01681610541
4,0.06666667,0.006587030146,0.005877552839,0.02416245458
5,0.08333333,0.007137663399,0.005985551613,0.02400806237
6,0.10000000,0.006917813753,0.005258778216,0.01949055527
7,0.11666667,0.005195532427,0.004225622985,0.01539687985
8,0.13333333,0.003573646366,0.00284952403,0.01125517023
9,0.15000000,0.003435875931,0.002298610267,0.008356636277
10,0.16666667,0.004313626529,0.002508018922,0.007801815709
11,0.18333333,0.004916579859,0.002573988216,0.00898659742
12,0.20000000,0.004859180271,0.002650376063,0.01245103667
13,0.21666667,0.005072612983,0.00345355241,0.0167415491
14,0.23333333,0.005790726876,0.00442199984,0.01868031982
15,0.25000000,0.006210441445,0.00515798497,0.01800594324
16,0.26666667,0.005624314848,0.005211188239,0.01610247283
17,0.28333333,0.004593911426,0.004455447165,0.01445655377
18,0.30000000,0.004144699507,0.003402656565,0.01331395039
19,0.31666667,0.004741373748,0.002823681421,0.01129261752
20,0.33333333,0.005121879004,0.002763384287,0.0116525616
21,0.35000000,0.005026202392,0.002733820433,0.0136537853
22,0.36666667,0.005098896826,0.002950767994,0.0151048152
23,0.38333333,0.005389067821,0.003619859187,0.01568666695
24,0.40000000,0.005868411938,0.004879292764,0.01952498526
25,0.41666667,0.006275530057,0.0053626043,0.01836320809
26,0.43333333,0.005783959348,0.005147351236,0.01685106538
27,0.45000000,0.004831188494,0.004422448045,0.01586860442
28,0.46666667,0.00440089063,0.00344667189,0.01287899116
29,0.48333333,0.004542547621,0.002801196418,0.009997540472
30,0.50000000,0.004670769343,0.00270089259,0.01028510378
31,0.51666667,0.004757858638,0.002632991986,0.0119853877
32,0.53333333,0.004994200719,0.002814261751,0.01370326376
33,0.55000000,0.005303765346,0.003438666097,0.015489963
34,0.56666667,0.005469989379,0.004075108561,0.01614517714
35,0.58333333,0.005367373696,0.004558090794,0.01590359239
36,0.60000000,0.00509569363,0.004726790892,0.01554721546
37,0.61666667,0.004852856053,0.004380569776,0.01469624382
38,0.63333333,0.004794763501,0.003715657111,0.01346006837
39,0.65000000,0.004874886111,0.003115613168,0.01238279664
40,0.66666667,0.004917865277,0.002764921084,0.01189397203
41,0.68333333,0.004924095579,0.002671298259,0.012477244
42,0.70000000,0.004986179622,0.002848525557,0.01363059687
43,0.71666667,0.005072161612,0.003323026813,0.0142204399
44,0.73333333,0.005088492555,0.003966325438,0.01421160679
45,0.75000000,0.005006682913,0.004451623434,0.01413693508
46,0.76666667,0.004878372313,0.004485887858,0.01411975877
47,0.78333333,0.004823481534,0.00410573865,0.01419444008
