frame,time_s,stretch_score,shear_score,bend_score
0,0.00000000,0,0,0
1,0.01666667,0.002949081689,0.001585396983,0.0008689679289
2,0.03333333,0.00603757803,0.003501518932,0.007299356582
3,0.05000000,0.006198009018,0.004304669502,0.01677690639
4,0.06666667,0.006506264697,0.005834407083,0.02397942143
5,0.08333333,0.007034437992,0.005893631542,0.02357454592
6,0.10000000,0.006755193401,0.005153576682,0.01874921924
7,0.11666667,0.004873272112,0.003986751203,0.01334875354
8,0.13333333,0.003079367865,0.002540682332,0.008791258168
9,0.15000000,0.002994872074,0.002049739173,0.006588500809
10,0.16666667,0.004126501443,0.002363878947,0.007026911165
11,0.18333333,0.004999720383,0.00257497217,0.00896836034
12,0.20000000,0.005053452203,0.002781872909,0.01342403447
13,0.21666667,0.005336019131,0.003749982349,0.01829906444
14,0.23333333,0.006012117039,0.004652638241,0.01972461416
15,0.25000000,0.006240742118,0.005266013875,0.01783907666
16,0.26666667,0.005338606625,0.005178283095,0.01503634838
17,0.28333333,0.004064845055,0.004266521932,0.01251896472
18,0.30000000,0.00363613624,0.003043444419,0.01003520145
19,0.31666667,0.00420053719,0.002415423402,0.008614252991
20,0.33333333,0.004818753876,0.002476840079,0.01000576649
21,0.35000000,0.005030432568,0.002639968918,0.01332819739
22,0.36666667,0.005316501641,0.003120296488,0.01633744057
23,0.38333333,0.005730103142,0.00390498759,0.017234871
24,0.40000000,0.005747281106,0.004661024919,0.01609239294
25,0.41666667,0.005100245851,0.00498225749,0.01434261416
26,0.43333333,0.004274330725,0.004629755574,0.01290163794
27,0.45000000,0.003974715074,0.003821077682,0.01157955953
28,0.46666667,0.004341107777,0.00307010742,0.01045502717
29,0.48333333,0.004878989637,0.002778935275,0.01082798502
30,0.50000000,0.005165750899,0.002836801826,0.01303719696
31,0.51666667,0.005313535738,0.002992831874,0.01530114781
32,0.53333333,0.005438244447,0.00318504203,0.01590172997
33,0.55000000,0.005344413536,0.003639823991,0.01493408356
34,0.56666667,0.00489348712,0.004227865271,0.01361030075
35,0.58333333,0.004417665542,0.004553302135,0.01283757557
36,0.60000000,0.004311537415,0.004434275553,0.01261614406
37,0.61666667,0.004586828887,0.003931084895,0.01255351788
38,0.63333333,0.004947530436,0.003319277014,0.01274057724
39,0.65000000,0.005171928342,0.002976389116,0.01338788346
40,0.66666667,0.005249930093,0.002900967471,0.01410025744
41,0.68333333,0.005195528117,0.002862349581,0.01414974372
42,0.70000000,0.004994908729,0.003057708594,0.01332748208
43,0.71666667,0.00469615829,0.003631770377,0.01221742659
44,0.73333333,0.004445928603,0.004198297767,0.01167906357
45,0.75000000,0.004392103327,0.004375791561,0.01206182886
46,0.76666667,0.004575645518,0.004125487925,0.01300385472
47,0.78333333,0.004922789362,0.003683971195,0.01403825568
48,0.80000000,0.005288312519,0.003369360601,0.01483093304
49,0.81666667,0.005497352671,0.003245274364,0.01505634112
50,0.83333333,0.00541908797,0.003112289207,0.01448632864
51,0.85000000,0.005060467996,0.002974611212,0.01322542226
52,0.86666667,0.004611241648,0.00311193076,0.01168369987
53,0.88333333,0.004306286907,0.003543843664,0.01050630923
54,0.90000000,0.00425062233,0.0039309044,0.01032344998
55,0.91666667,0.004417893145,0.004022983806,0.01129611442
56,0.93333333,0.004748592436,0.003854811185,0.01299492893
57,0.95000000,0.005164844509,0.00364040189,0.01466262909
58,0.96666667,0.00550011133,0.00349678457,0.01556070215
59,0.98333333,0.005551025759,0.00334164782,0.01534074403
60,1.00000000,0.005261151438,0.003120099634,0.01419232949
61,1.01666667,0.00480989751,0.002999844297,0.01264901145
62,1.03333333,0.004482769241,0.003219340771,0.01136144387
63,1.05000000,0.004444328484,0.003681079786,0.01087782834
64,1.06666667,0.004643573465,0.00407313545,0.01142208814
65,1.08333333,0.004970129663,0.004247922626,0.01278877703
66,1.10000000,0.005368790263,0.004267096177,0.0143607764
67,1.11666667,0.00572497578,0.004214706182,0.01543989706
68,1.13333333,0.005851129775,0.004086064885,0.01563791737
69,1.15000000,0.005653807664,0.003861025809,0.01498408588
70,1.16666667,0.005235974717,0.003703327522,0.01385858141
71,1.18333333,0.004842071573,0.003903615042,0.01278907041
72,1.20000000,0.004698111459,0.004483609496,0.0122087946
73,1.21666667,0.004854826103,0.005196997778,0.01230184888
74,1.23333333,0.005195451097,0.005815026847,0.01301396443
75,1.25000000,0.005582913576,0.006217982677,0.01405734626
76,1.26666667,0.005907740949,0.006361883856,0.01495940647
77,1.28333333,0.006058199816,0.00624198372,0.01529466073
78,1.30000000,0.005955392184,0.005877162228,0.01491615689
79,1.31666667,0.00562839815,0.005318467162,0.01397833008
80,1.33333333,0.005222290979,0.004686146852,0.01283451545
81,1.35000000,0.004902342053,0.004164589179,0.01192942871
82,1.36666667,0.004748876691,0.00387993643,0.01165713101
83,1.38333333,0.004749559107,0.003793785944,0.01212264315
84,1.40000000,0.004863957969,0.0037849134,0.01303755971
85,1.41666667,0.005050519511,0.003782486734,0.01394779672
86,1.43333333,0.005245281894,0.003785484186,0.01452457941
87,1.45000000,0.005379464012,0.003825860686,0.0147179047
88,1.46666667,0.005448767787,0.003933949371,0.01465961555
89,1.48333333,0.005509659993,0.004120576028,0.01451971705
90,1.50000000,0.005605943296,0.004368964198,0.01443419705
91,1.51666667,0.005719665694,0.004636007125,0.01452059076
92,1.53333333,0.005796612147,0.004888932268,0.01485235731
93,1.55000000,0.005808839407,0.005136157833,0.01538128695
94,1.56666667,0.005775828489,0.005427694253,0.01593468997
95,1.58333333,0.005736471578,0.005836557665,0.01632897692
96,1.60000000,0.005713826076,0.006403609568,0.01651842007
97,1.61666667,0.005731109411,0.007132132595,0.01629500105
98,1.63333333,0.005866681219,0.007915931007,0.01603430043
99,1.65000000,0.006189700543,0.008730641151,0.01594887737
100,1.66666667,0.006616644263,0.009543413338,0.01604282134
101,1.68333333,0.006989418287,0.01014021256,0.01621595509
102,1.70000000,0.007198027406,0.01033974562,0.01627623603
103,1.71666667,0.007180425526,0.01013321369,0.01607773393
104,1.73333333,0.006925714744,0.009552891357,0.01559621842
105,1.75000000,0.006486634682,0.008612240734,0.01494037663
106,1.76666667,0.005965562661,0.007414753731,0.01426632794
107,1.78333333,0.005502877725,0.006187269082,0.01371956846
108,1.80000000,0.005208761136,0.005171381401,0.01342838056
109,1.81666667,0.005089212665,0.004482366442,0.01340679372
110,1.83333333,0.005064602571,0.00408424632,0.01352173514
111,1.85000000,0.005058782158,0.003886653617,0.01360792365
112,1.86666667,0.005055289123,0.00383327384,0.01358578201
113,1.88333333,0.005098862708,0.0039287544,0.01350117876
114,1.90000000,0.005252873633,0.004192478137,0.0134624139
115,1.91666667,0.005529070975,0.004580562094,0.01354594821
116,1.93333333,0.00586033679,0.0049709961,0.0137832858
117,1.95000000,0.006143602705,0.005224317647,0.01417517061
118,1.96666667,0.006289437872,0.005251722227,0.01465409822
119,1.98333333,0.006252295811,0.005059185353,0.01508475908
120,2.00000000,0.006050869452,0.004759589969,0.01533885162
121,2.01666667,0.005764193937,0.004569153549,0.01537649229
122,2.03333333,0.005498893729,0.004733835999,0.01526551785
123,2.05000000,0.005350436785,0.005324308452,0.0151323404
124,2.06666667,0.005365012988,0.006176002166,0.01507659023
125,2.08333333,0.005515015683,0.007058691456,0.01512021388
126,2.10000000,0.005716621462,0.007787409985,0.0152363277
127,2.11666667,0.005881340718,0.008244601015,0.0153990233
128,2.13333333,0.005955802125,0.008388076078,0.01559373758
