frame,time_s,stretch_score,shear_score,bend_score
0,0.00000000,0,0,0
1,0.01666667,0.003072789868,0.001596086189,0.0004574447066
2,0.03333333,0.007916565208,0.004293218512,0.005734347432
3,0.05000000,0.01114666163,0.006385495499,0.016377409
4,0.06666667,0.01293096088,0.008147553366,0.02928411752
5,0.08333333,0.0153449594,0.01124016124,0.04021172557
6,0.10000000,0.01698893639,0.01267670526,0.04578027071
7,0.11666667,0.01725948029,0.01227496053,0.04764110685
8,0.13333333,0.01921168353,0.0144771508,0.05429625583
9,0.15000000,0.01910020366,0.01370801969,0.05241168058
10,0.16666667,0.01713156041,0.011879105,0.0480449451
11,0.18333333,0.01351685695,0.009749714114,0.04272232028
12,0.20000000,0.0100526676,0.007503608893,0.03643687332
13,0.21666667,0.00826774268,0.005768363734,0.02933496076
14,0.23333333,0.008064431901,0.004968767069,0.02384868006
15,0.25000000,0.008601582174,0.005143641509,0.0217665091
16,0.26666667,0.009278954382,0.0055936634,0.022867747
17,0.28333333,0.01005520008,0.006268935911,0.02639857998
18,0.30000000,0.01132492956,0.007392412492,0.03123510732
19,0.31666667,0.01303228293,0.008754846152,0.03541541713
20,0.33333333,0.0144879768,0.009886742877,0.03865903102
21,0.35000000,0.01515533177,0.01046431613,0.04065426054
22,0.36666667,0.01479162941,0.0103021396,0.04043310653
23,0.38333333,0.01344368698,0.009598464893,0.03812277776
24,0.40000000,0.01170916716,0.008651586446,0.0352414908
25,0.41666667,0.01035248252,0.007746259633,0.03235898218
26,0.43333333,0.009756326722,0.007129838206,0.02997684654
27,0.45000000,0.009858807191,0.006885672568,0.02871843635
28,0.46666667,0.01035132187,0.006876094092,0.0286551035
29,0.48333333,0.01101809498,0.007124152863,0.02979440681
30,0.50000000,0.01175661576,0.007629194419,0.03180527008
31,0.51666667,0.01247995874,0.008229345926,0.03388525297
32,0.53333333,0.01303040073,0.008744868416,0.03556200899
33,0.55000000,0.01336826149,0.009143926256,0.03679025254
34,0.56666667,0.01332538676,0.00918811634,0.0369386777
35,0.58333333,0.01282925451,0.008869175392,0.03591469818
36,0.60000000,0.0119617362,0.008373658807,0.0341645529
37,0.61666667,0.0110014697,0.00775680848,0.03202852043
38,0.63333333,0.01032823569,0.007202215821,0.03015580901
39,0.65000000,0.01016142095,0.006922837485,0.02909930451
40,0.66666667,0.01049030947,0.006968183138,0.02913709722
